ticker,model,RMSE,MAE,R2,DirAcc,train_s,infer_s
1319,LightGBM,2.9917,2.2493,0.7141,0.217,3.3485,0.0029
1319,XGBoost,2.8272,2.0074,0.7446,0.2214,0.6208,0.0012
1401,LightGBM,27.5495,20.0424,-0.3082,0.2995,2.553,0.002
1401,XGBoost,28.8693,20.8547,-0.4365,0.2679,1.1674,0.0008
1405,LightGBM,4.15,2.1084,-0.7518,0.5136,0.3885,0.0008
1405,XGBoost,5.0918,3.5138,-1.6371,0.1682,0.3914,0.0005
1419,LightGBM,4.4774,4.054,0.021,0.6023,0.9731,0.0009
1419,XGBoost,3.3402,2.5211,0.4551,0.6023,0.6697,0.0005
1518,LightGBM,1.0911,0.9152,0.4377,0.1532,2.1485,0.0014
1518,XGBoost,0.9425,0.7764,0.5804,0.1486,0.9355,0.0005
1712,LightGBM,16.9704,14.3802,-0.323,0.3573,4.0447,0.0031
1712,XGBoost,16.9488,14.2356,-0.3196,0.3532,2.5049,0.0017
1722,LightGBM,9.7203,7.9443,0.8062,0.5662,1.5053,0.001
1722,XGBoost,8.6038,7.0199,0.8481,0.5084,1.4585,0.0006
1743,LightGBM,1.6736,1.2899,0.3354,0.1479,1.3953,0.0014
1743,XGBoost,1.7997,1.3587,0.2314,0.1667,0.5299,0.0006
1766,LightGBM,254.1336,217.057,0.4468,0.4198,8.3182,0.0079
1766,XGBoost,255.9278,215.4512,0.439,0.4226,5.0701,0.001
1780,LightGBM,1.6686,1.4293,-1.6228,0.4974,0.3282,0.0007
1780,XGBoost,1.763,1.3406,-1.9279,0.4603,0.2389,0.0004
1801,LightGBM,9.6401,6.892,-0.3922,0.4292,4.6719,0.0026
1801,XGBoost,10.715,7.6656,-0.7199,0.4125,2.1206,0.0006
1802,LightGBM,11.0821,8.6396,0.7209,0.7194,1.0108,0.0008
1802,XGBoost,10.9192,8.7021,0.729,0.6861,0.8888,0.0005
1803,LightGBM,15.6459,11.5354,0.6585,0.5277,1.6927,0.0011
1803,XGBoost,15.2577,10.6903,0.6752,0.5034,1.536,0.0006
1812,LightGBM,10.111,7.6156,0.2579,0.5586,1.5386,0.001
1812,XGBoost,8.5297,6.8928,0.4719,0.5601,1.1765,0.0006
1840,LightGBM,4.0664,2.8686,-0.9856,0.4853,1.5568,0.0011
1840,XGBoost,3.8274,2.7632,-0.759,0.4343,3.3668,0.0009
